trial_number,video_name,Joy,Inspiration,Tenderness,Sadness,Fear,Disgust,Arousal,Valence,Familiarity,Liking,type,subject,actualOrder,stimulus,labelAngie
24.0,28,6.16,5.32,0.7,0.0,0.0,0.0,5.04,5.18,2.59,6.09,imagen,3,19.0,ins5,Joy
31.0,28,0.0,1.68,0.0,0.0,0.0,0.0,0.0,4.2,0.0,3.5,imagen,3,20.0,ins8,Inspiration
40.0,28,3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.25,3.5,video,3,0.0,sad4,Joy
41.0,28,0.0,0.0,0.0,5.95,0.0,0.0,3.43,3.5,0.0,3.5,video,3,1.0,sad5,Sadness
42.0,28,0.0,0.0,3.5,5.390000000000001,0.0,0.0,3.57,3.5,0.0,4.760000000000001,video,3,2.0,sad8,Sadness
29.0,28,3.5,3.5,0.0,0.0,0.0,1.89,1.54,3.5,0.0,3.5,video,3,3.0,dis4,Disgust
13.0,28,3.5,3.5,0.0,0.0,0.0,3.5,3.29,2.45,3.43,3.5,video,3,4.0,dis5,Disgust
30.0,28,0.0,0.0,0.0,0.0,3.5,7.0,5.25,0.98,5.600000000000001,0.21,video,3,5.0,dis8,Disgust
14.0,28,0.49,0.0,0.0,0.0,5.109999999999999,0.0,5.109999999999999,1.75,0.0,3.5,video,3,6.0,fear4,Fear
15.0,28,0.0,0.84,0.0,0.0,4.62,0.0,5.04,3.5,0.98,3.5,video,3,7.0,fear5,Fear
28.0,28,0.0,0.0,0.0,0.0,1.05,0.0,3.57,3.5,3.36,3.5,video,3,8.0,fear8,Fear
10.0,28,1.68,5.739999999999999,0.0,0.0,0.0,0.0,0.56,4.69,0.0,3.5,video,3,9.0,neu4,Inspiration
12.0,28,5.32,7.0,0.0,0.0,0.0,0.0,5.04,5.109999999999999,0.0,6.23,video,3,10.0,neu5,Inspiration
11.0,28,3.5,3.5,3.5,3.5,3.5,3.5,0.0,3.5,0.0,3.5,video,3,11.0,neu8,Neutro
2.0,28,3.5,3.5,0.0,0.0,0.0,0.0,0.63,3.5,0.0,3.5,video,3,12.0,joy4,Joy
35.0,28,5.88,5.04,3.5,0.0,0.0,0.0,3.64,5.81,3.57,5.67,video,3,13.0,joy5,Joy
3.0,28,5.25,5.109999999999999,5.88,0.0,0.0,0.0,4.899999999999999,5.739999999999999,5.739999999999999,6.3,video,3,14.0,joy8,Tenderness
1.0,28,3.5,3.5,4.41,5.32,1.4,0.0,1.33,4.48,3.64,4.2,video,3,15.0,ten4,Sadness
20.0,28,5.109999999999999,4.97,7.0,0.0,0.0,0.0,3.43,5.600000000000001,5.739999999999999,5.88,video,3,16.0,ten5,Tenderness
19.0,28,3.5,4.41,4.48,0.0,0.7000000000000001,0.84,3.5,4.97,1.68,4.13,video,3,17.0,ten8,Tenderness
36.0,28,3.5,3.5,3.5,0.0,0.0,0.0,1.4,3.5,0.0,3.5,video,3,18.0,ins4,Inspiration
21.0,28,3.5,5.46,1.54,0.0,0.0,1.26,2.24,3.92,3.5,3.5,video,3,19.0,ins5,Inspiration
34.0,28,1.33,3.5,1.33,0.0,0.0,0.0,3.36,4.760000000000001,0.7000000000000001,4.760000000000001,video,3,20.0,ins8,Inspiration
24.0,15,0.0,0.0,0.0,5.739999999999999,0.0,0.0,6.649999999999999,2.17,0.7000000000000001,2.59,imagen,4,0.0,sad4,Sadness
32.0,15,0.84,0.14,4.69,1.82,0.0,0.0,1.82,3.57,1.54,2.66,imagen,4,1.0,sad5,Tenderness
22.0,15,0.0,0.0,2.1,5.32,0.0,0.0,5.46,1.4,0.0,3.5,imagen,4,2.0,sad8,Sadness
33.0,15,0.0,0.0,0.0,0.0,0.0,2.1,1.47,3.43,0.63,1.68,imagen,4,3.0,dis4,Disgust
3.0,15,0.0,0.0,0.0,0.0,0.0,5.25,5.04,3.29,0.0,1.4,imagen,4,4.0,dis5,Disgust
2.0,15,0.0,0.0,0.0,0.0,4.62,5.53,4.55,2.1,0.0,1.47,imagen,4,5.0,dis8,Disgust
31.0,15,1.05,0.0,0.0,0.0,3.5,0.0,4.06,3.57,0.91,2.87,imagen,4,6.0,fear4,Fear
1.0,15,1.82,0.7,0.42,0.0,2.1,0.0,3.15,1.33,0.0,3.5,imagen,4,7.0,fear5,Fear
23.0,15,0.0,0.0,0.0,0.0,1.4,0.0,4.34,3.5,1.4,1.82,imagen,4,8.0,fear8,Fear
13.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,imagen,4,9.0,neu4,Neutro
15.0,15,1.54,0.77,3.99,0.0,0.0,0.0,2.8,4.2,1.4,3.43,imagen,4,10.0,neu5,Tenderness
14.0,15,1.12,0.0,3.71,0.0,0.0,0.0,2.87,3.5,3.64,4.13,imagen,4,11.0,neu8,Tenderness
10.0,15,5.25,2.03,1.96,0.0,0.0,0.0,3.78,5.739999999999999,0.0,5.600000000000001,imagen,4,12.0,joy4,Joy
38.0,15,6.44,4.899999999999999,6.93,0.0,0.0,0.0,5.46,7.0,0.84,7.0,imagen,4,13.0,joy5,Tenderness
30.0,15,5.53,5.53,6.44,0.49,0.0,0.0,4.62,5.25,1.47,5.39,imagen,4,14.0,joy8,Tenderness
37.0,15,4.48,0.84,6.16,0.0,0.0,0.0,5.18,5.81,0.98,6.02,imagen,4,15.0,ten4,Tenderness
11.0,15,4.34,4.760000000000001,5.95,0.0,0.0,0.0,3.850000000000001,5.53,0.0,4.34,imagen,4,16.0,ten5,Tenderness
39.0,15,5.600000000000001,6.37,6.58,0.0,0.0,0.0,5.04,6.16,1.96,6.3,imagen,4,17.0,ten8,Tenderness
28.0,15,4.27,4.83,0.0,0.0,0.0,0.0,3.92,5.46,0.0,3.99,imagen,4,18.0,ins4,Inspiration
12.0,15,2.17,6.02,5.53,0.0,0.0,0.0,5.600000000000001,7.0,0.0,4.48,imagen,4,19.0,ins5,Inspiration
29.0,15,3.5,6.79,4.27,0.0,0.0,0.0,4.41,7.0,0.49,4.55,imagen,4,20.0,ins8,Inspiration
21.0,15,5.04,1.54,5.88,2.1,0.0,0.0,6.16,2.8,7.0,5.67,video,4,0.0,sad4,Tenderness
35.0,15,0.0,0.0,0.0,3.78,0.0,0.0,3.850000000000001,3.36,0.0,3.5,video,4,1.0,sad5,Sadness
19.0,15,0.0,0.0,3.5,2.38,0.0,0.0,3.850000000000001,2.38,0.0,1.82,video,4,2.0,sad8,Tenderness
36.0,15,0.0,0.0,0.0,0.0,0.0,3.64,3.57,3.5,0.0,1.26,video,4,3.0,dis4,Disgust
6.0,15,1.68,0.0,0.0,0.0,0.0,0.0,1.82,3.5,3.64,1.96,video,4,4.0,dis5,Joy
5.0,15,1.61,0.0,0.0,0.0,0.0,4.69,4.13,3.5,3.43,0.0,video,4,5.0,dis8,Disgust
34.0,15,0.0,0.0,3.5,3.5,5.25,0.0,3.57,3.5,0.0,2.52,video,4,6.0,fear4,Fear
4.0,15,0.0,0.0,0.0,0.0,5.67,0.0,7.0,3.0,0.0,1.0,video,4,7.0,fear5,Fear
20.0,15,0.84,0.0,4.34,1.19,4.899999999999999,0.0,5.0,2.0,0.0,3.0,video,4,8.0,fear8,Fear
16.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,5.18,video,4,9.0,neu4,Neutro
18.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,2.94,video,4,10.0,neu5,Neutro
17.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,video,4,11.0,neu8,Neutro
7.0,15,3.5,1.26,0.0,0.0,0.0,0.0,1.89,5.18,0.0,3.5,video,4,12.0,joy4,Joy
41.0,15,7.0,0.0,0.0,0.0,0.0,0.0,5.95,3.5,7.0,5.600000000000001,video,4,13.0,joy5,Joy
27.0,15,5.18,1.54,1.4,0.0,0.0,0.0,3.71,3.22,0.56,5.600000000000001,video,4,14.0,joy8,Joy
40.0,15,5.739999999999999,2.17,7.0,0.0,0.0,0.0,3.64,7.0,7.0,7.0,video,4,15.0,ten4,Tenderness
8.0,15,5.18,4.62,6.44,0.0,0.0,0.0,4.899999999999999,5.95,7.0,7.0,video,4,16.0,ten5,Tenderness
42.0,15,3.5,3.5,5.95,0.0,0.0,0.0,3.15,7.0,0.0,4.27,video,4,17.0,ten8,Tenderness
25.0,15,5.390000000000001,6.02,4.2,0.0,0.0,0.0,5.25,5.88,0.0,4.62,video,4,18.0,ins4,Inspiration
9.0,15,1.61,5.18,1.33,0.0,0.0,0.0,4.55,5.739999999999999,5.46,5.25,video,4,19.0,ins5,Inspiration
26.0,15,2.52,4.41,0.0,0.0,0.0,0.0,3.22,7.0,3.850000000000001,4.97,video,4,20.0,ins8,Inspiration
28.0,23,0.49,2.17,0.91,0.42,0.0,0.0,2.59,3.99,3.5,3.5,imagen,5,0.0,sad4,Inspiration
8.0,23,3.5,3.5,3.5,3.5,3.5,3.5,3.15,2.66,3.92,3.5,imagen,5,1.0,sad5,Sadness
